assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_964430955.1	SAMEA117295611	uncultured Puniceicoccaceae bacterium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure		
GCA_042158545.1	SAMN42091755	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_012379115.1	SAMN11655641	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_012400925.1	SAMN12662481	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_913777495.1	SAMEA8943810	uncultured Buchnera sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	DNA extract
GCA_963562005.1	SAMEA4874748	Burkholderia pseudomallei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Mus musculus	10090		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	
GCA_964535355.1	SAMEA117295622	uncultured Burkholderiaceae bacterium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure		
GCA_011943515.1	SAMN11658289	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_013361715.1	SAMN14571736	Gemmatimonadaceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	
GCA_056647985.1	SAMN56814290	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056465645.1	SAMN56810642	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056466845.1	SAMN56811446	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057608225.1	SAMN50509851	[Eubacterium] siraeum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_040530605.1	SAMN42052459	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_046032115.1	SAMN33923821	Streptococcus suis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa	9823		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_046635225.1	SAMN45032219	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_046635345.1	SAMN45032213	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_943369295.1	SAMEA14446982	Synechococcus sp. UW140	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_008993435.1	SAMN05203397	Salmonella enterica subsp. enterica serovar Enteritidis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	laboratory
GCA_030385485.1	SAMN34359461	Leyella lascolaii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_042926695.1	SAMN32064472	Lonepinella koalarum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Phascolarctos cinereus	38626		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056966815.1	SAMN50491888	Phocaeicola fibrisolvens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_029693205.1	SAMN32614601	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Capra hircus	9925		diseased	diseased		poultry meat/product	chicken carcass
GCA_048286075.1	SAMN45804282	Faecalibacterium hattorii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	cell culture
GCA_054745765.1	SAMD00752474	Helicobacter pylori	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	
GCA_018906435.1	SAMEA5849358	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_018907855.1	SAMEA5849313	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_018907895.1	SAMEA5849316	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_043353615.1	SAMN43896510	Enterococcus faecalis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_043353645.1	SAMN43896509	Enterococcus faecalis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_012365955.1	SAMN07781716	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_009338735.1	SAMN13071840	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure		manure
GCA_021286575.1	SAMN24183497	Enterobacter hormaechei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_021565445.1	SAMN25221398	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_021565915.1	SAMN25221401	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_027274115.1	SAMN32247485	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_027279315.1	SAMN32247283	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_036632895.1	SAMN32909162	Streptococcus dysgalactiae	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Oreochromis niloticus	8128		diseased	diseased		seafood/aquatic food product	
GCA_040522625.1	SAMN42336761	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_040526005.1	SAMN42336894	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_040528045.1	SAMN42336797	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_054907775.1	SAMN55058170	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_012007405.1	SAMN12628230	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_022760385.1	SAMN26879081	Flavobacteriaceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported		environmental material	
GCA_031798455.1	SAMEA111551632	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Capreolus capreolus	9858				manure	clinical/host-associated material	feces/stool
GCA_034422475.1	SAMN13291810	Clostridium perfringens	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	agricultural environment	farm
GCA_043364315.1	SAMN40642689	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Canis lupus familiaris	9615		healthy	healthy/no disease reported		eces	
